Response,OD,BD,LTD,W
3.241,2.0176,4.87,-0.59,-4.1
3.032,1.9553,4.78,-0.75,4.7
3.1,1.8131,3.14,-0.38,-4.9
3.156,2.5751,3.28,-0.16,-3.2
3.11,2.2589,3.28,0.01,5.6
3.127,2.5448,4.87,-0.19,4.1
3.456,2.6291,6.27,-0.14,5.3
3.244,3.1553,7.16,-0.43,2.35E+01
3.565,3.403,7.24,-0.34,1.33E+01
3.116,2.815,7.16,-0.33,-4.5
3.186,1.9012,4.78,-0.27,-4.7
3.21,2.1463,3.28,-0.2,-4.6
3.215,2.5851,3.47,-0.48,-4
3.368,2.083,3.14,-0.26,-2
3.17,1.7192,4.78,-0.09,-2.8
3.625,3.5471,4.78,-0.17,3.5
3.445,3.672,7.16,-0.34,1.32E+01
3.68,4.7259,8.65,-0.54,2.06E+01
3.618,3.6039,8.65,-0.7,1.41E+01
3.824,4.1214,6.16,-0.46,8.3
3.345,3.494,4.87,-0.31,6.8
3.168,3.4829,5.82,-0.34,-4.7
3.2,2.0793,3.47,-0.42,-3.7
3.038,2.0315,3.14,-0.37,-4.4
2.992,1.7356,3.14,-0.42,-4.7
3.001,1.4569,3.14,-0.25,-4.3
3.183,1.8559,3.28,-0.02,-4.4
3.277,2.6173,3.28,-0.29,4.6
3.231,2.8782,5.82,-0.31,7.6
3.517,2.7842,4.78,-0.32,1.78E+01
3.125,3.3236,7.16,-0.1,-3.6
3.063,2.8799,3.47,-0.09,-3.7
3.155,1.9654,3.47,-0.07,-5
3.049,1.5116,3.28,-0.31,-5
3.082,1.7465,3.28,-0.34,-4.2
3.023,1.0967,3.14,-0.06,-4.4
3.042,2.9802,3.28,-0.28,4.1
3.515,3.0644,3.28,-0.52,8.5
