HootCallIDNo,LekWatchNo,Place,DayofYear,Day,Month,Year,Lek,MaleID,TimeofHoot,AudienceMales,PrePost,TimeIntervals,FemaleVisit.5m,OverlapExclusion25mins
15,105,TZ,157,6,6,2007,ElephantShit,102,8:10,N,Post,2,0,N
15,105,TZ,157,6,6,2007,ElephantShit,102,8:10,N,Pre,2,0,N
18,108,TZ,157,6,6,2007,AfricanPavillionRocks,101,10:13,N,Post,2,1,N
18,108,TZ,157,6,6,2007,AfricanPavillionRocks,101,10:13,N,Pre,2,0,N
26,110,TZ,158,7,6,2007,AfricanDirtPath,105,7:47,N,Post,2,0,N
26,110,TZ,158,7,6,2007,AfricanDirtPath,105,7:47,N,Pre,2,0,N
28,110,TZ,158,7,6,2007,AfricanDirtPath,105,8:20,N,Pre,2,0,N
32,125,TZ,159,8,6,2007,IndoMalayan,103,8:14,N,Post,2,0,N
32,125,TZ,159,8,6,2007,IndoMalayan,103,8:14,N,Pre,2,0,N
38,135,TZ,160,9,6,2007,ElephantShit,102,8:28,N,Pre,2,0,N
45,150,TZ,161,10,6,2007,AfricanDirtPath,105,8:04,N,Post,2,0,N
45,150,TZ,161,10,6,2007,AfricanDirtPath,105,8:04,N,Pre,2,0,N
55,185,TZ,166,15,6,2007,IndoMalayan,103,7:32,N,Post,2,0,N
83,74,WZ,137,17,5,2007,Vicuna,114,7:53,N,Pre,2,0,N
107,116,TZ,158,7,6,2007,IndoMalayan,103,8:39,N,Post,2,0,N
122,180,TZ,166,15,6,2007,ElephantShit,102,8:14,N,Post,2,0,N
122,180,TZ,166,15,6,2007,ElephantShit,102,8:14,N,Pre,2,0,N
123,192,TZ,167,16,6,2007,IndoMalayan,103,9:39,N,Post,2,1,N
123,192,TZ,167,16,6,2007,IndoMalayan,103,9:39,N,Pre,2,0,N
125,193,TZ,167,16,6,2007,AfricanStaff,106,10:40,N,Post,2,0,N
125,193,TZ,167,16,6,2007,AfricanStaff,106,10:40,N,Pre,2,0,N
128,195,TZ,169,18,6,2007,AfricanDirtPath,105,7:51,N,Post,2,0,N
128,195,TZ,169,18,6,2007,AfricanDirtPath,105,7:51,N,Pre,2,0,N
129,211,TZ,170,19,6,2007,AfricanDirtPath,105,8:47,N,Post,2,0,N
155,26,WZ,129,9,5,2007,Vicuna,114,11:25,N,Post,2,0,N
155,26,WZ,129,9,5,2007,Vicuna,114,11:25,N,Pre,2,0,N
209,34,WZ,130,10,5,2007,Kangaroo,117,9:34,Y,Post,2,0,N
214,38,WZ,130,10,5,2007,Crane,110,17:55,Y,Post,2,1,N
214,38,WZ,130,10,5,2007,Crane,110,17:55,Y,Pre,2,1,N
231,46,WZ,132,12,5,2007,JohnShed,111,17:17,Y,Post,2,0,N
231,46,WZ,132,12,5,2007,JohnShed,111,17:17,Y,Pre,2,0,N
232,46,WZ,132,12,5,2007,JohnShed,114,17:19,Y,Post,2,0,N
232,46,WZ,132,12,5,2007,JohnShed,114,17:19,Y,Pre,2,0,N
238,46,WZ,132,12,5,2007,JohnShed,114,17:47,Y,Post,2,0,N
238,46,WZ,132,12,5,2007,JohnShed,114,17:47,Y,Pre,2,0,N
243,47,WZ,133,13,5,2007,Kangaroo,108,7:03,Y,Post,2,0,N
245,48,WZ,133,13,5,2007,Vicuna,114,8:44,N,Post,2,0,N
245,48,WZ,133,13,5,2007,Vicuna,114,8:44,N,Pre,2,0,N
251,44,WZ,132,12,5,2007,Vicuna,114,9:04,N,Post,2,0,N
255,41,WZ,132,12,5,2007,Crane,110,10:33,Y,Post,2,0,N
255,41,WZ,132,12,5,2007,Crane,110,10:33,Y,Pre,2,0,N
256,56,WZ,135,15,5,2007,Kangaroo,117,8:19,N,Post,2,0,N
256,56,WZ,135,15,5,2007,Kangaroo,117,8:19,N,Pre,2,0,N
258,56,WZ,135,15,5,2007,Kangaroo,117,8:52,N,Post,2,1,N
