Ord,Run,Cyc,Year,MisEsc,SpnEsc,MisTim,TimDiff,HopeQ,HGTemp,lnMisESc,lnSpnEsc,Ehatv1
1,EStu,2002,1978,85,50.004,36711,-5.333333333,4756,16.91,4.442651256,3.912103002,118
1,EStu,2003,1979,148,92.746,36712,-4.333333333,5217,15.32,4.997212274,4.529864574,163
1,EStu,2001,1981,200,138.031,36716,-0.333333333,4567,15,5.298317367,4.927478298,200
1,EStu,2003,1983,52,23.867,36715,-1.333333333,5274,14.68,3.951243719,3.172496752,80
1,EStu,2001,1985,222,237.532,36718,1.666666667,4646,16.27,5.402677382,5.470302351,266
1,EStu,2003,1987,154,148.194,36718,1.666666667,3876,17.38,5.036952602,4.998522226,208
1,EStu,2000,1988,166,179.807,36714,-2.333333333,4526,15.88,5.111987788,5.191884053,230
1,EStu,2001,1989,275,384.799,36713,-3.333333333,4034,16.67,5.616771098,5.95272112,343
1,EStu,2002,1990,116,97.035,36717,0.666666667,6849,15.5,4.753590191,4.575071738,166
1,EStu,2003,1991,192,141.119,36723,6.666666667,5669,13.71,5.257495372,4.949603506,203
1,EStu,2000,1992,164,65.617,36720,3.666666667,3596,16.14,5.099866428,4.183834809,136
1,EStu,2001,1993,416,688.013,36721,4.666666667,3224,15.14,6.03068526,6.533807733,465
1,EStu,2002,1994,147,29.126,36718,1.666666667,4751,16.2,4.990432587,3.371631246,89
1,EStu,2003,1995,179,122.856,36715,-1.333333333,4089,16.33,5.187385806,4.811012938,188
1,EStu,2000,1996,112,87.57,36719,2.666666667,6330,14.86,4.718498871,4.472438474,158
1,EStu,2001,1997,767,265.698,36724,7.666666667,7294,15.88,6.642486801,5.582360325,282
1,EStu,2002,1998,153,32.57,36715,-1.333333333,4169,18.51,5.030437921,3.483391619,94
1,EStu,2003,1999,132,24.532,36716,-0.333333333,9819,13.59,4.882801923,3.199978388,81
1,EStu,2000,2000,180,89.747,36710,-6.333333333,7420,13.94,5.192956851,4.496994601,160
2.0001,ESum,2001,1977,52,45.37,36737,-2.791666667,4523,17.46,3.951243719,3.814851094,61
2.9899,ESum,2002,1978,76,76.799,36745,5.208333333,3057,18.57,4.33073334,4.341191619,110
2.9899,ESum,2003,1979,174,167.807,36741,1.208333333,2926,17.46,5.159055299,5.122814509,259
2.0001,ESum,2000,1980,73,59.957,36738,-1.791666667,2914,16.59,4.290459441,4.093627639,83
2.0001,ESum,2001,1981,63,59.997,36737,-2.791666667,4463,17.54,4.143134726,4.094294561,83
2.9899,ESum,2002,1982,106,90.987,36746,6.208333333,5281,16.98,4.663439094,4.510716639,132
2.9899,ESum,2003,1983,164,85.946,36743,3.208333333,3926,18.09,5.099866428,4.453719192,124
2.0001,ESum,2000,1984,92,108.79,36729,-10.79166667,5280,15.71,4.521788577,4.689419418,161
2.0001,ESum,2001,1985,36,41.922,36742,2.208333333,3317,17.7,3.583518938,3.735810749,56
2.9899,ESum,2002,1986,151,196.403,36746,6.208333333,3611,15.99,5.017279837,5.280168671,308
2.9899,ESum,2003,1987,305,186.037,36740,0.208333333,3939,16.83,5.720311777,5.225945579,290
2.0001,ESum,2000,1988,330,179.763,36742,2.208333333,3124,15.4,5.799092654,5.191639317,279
2.0001,ESum,2001,1989,114,47.212,36735,-4.791666667,3156,17.54,4.736198448,3.854648098,64
2.9899,ESum,2002,1990,561,428.958,36750,10.20833333,3419,17,6.329720906,6.061359012,727
2.9899,ESum,2003,1991,449,247.073,36743,3.208333333,4321,17.5,6.107022888,5.50968384,396
2.0001,ESum,2000,1992,141,91.806,36738,-1.791666667,2999,16.5,4.94875989,4.519677655,133
2.0001,ESum,2001,1993,130,63.492,36736,-3.791666667,3347,17,4.86753445,4.150913914,89
2.9899,ESum,2002,1994,364,238.091,36744,4.208333333,3317,18.25,5.897153868,5.472652954,381
2.9899,ESum,2003,1995,153,153.725,36740,0.208333333,4010,16.41,5.030437921,5.035165292,235
2.0001,ESum,2000,1996,417,313.09,36738,-1.791666667,4813,15.93,6.033086222,5.746490689,514
2.0001,ESum,2001,1997,257,52.949,36734,-5.791666667,6077,16.69,5.549076085,3.969329186,73
2.9899,ESum,2002,1998,525,149.662,36741,1.208333333,3200,20.26,6.263398263,5.008379418,228
2.9899,ESum,2003,1999,353,68.741,36739,-0.791666667,6877,16.11,5.866468057,4.230345819,97
2.0001,ESum,2000,2000,445,567,36731,-8.791666667,5691,17.32,6.098074282,6.340359304,989
3,Summ,2001,1977,679,737.024,36737,-14.04166667,4523,17.46,6.520621128,6.602620456,716
3,Summ,2002,1978,263,227.092,36751,-0.041666667,3074,16.91,5.572154032,5.425355222,206
3,Summ,2003,1979,652,580.862,36748,-3.041666667,2547,18.25,6.480044562,6.364513207,556
3,Summ,2000,1980,627,571.085,36748,-3.041666667,2533,17.62,6.440946541,6.34753806,547
3,Summ,2001,1981,1205,1054.481,36744,-7.041666667,3781,19.44,7.094234846,6.960803982,1045
3,Summ,2002,1982,358,375.597,36748,-3.041666667,5113,16.59,5.880532986,5.92851676,351
3,Summ,2003,1983,355,508.926,36749,-2.041666667,3639,18.49,5.872117789,6.232302623,484
3,Summ,2000,1984,798,643.278,36747,-4.041666667,3953,17.54,6.682108597,6.466576979,620
3,Summ,2001,1985,1635,1737.958,36753,1.958333333,2619,16.43,7.399398083,7.46046614,1771
3,Summ,2002,1986,752,581.163,36749,-2.041666667,3440,15.72,6.622736324,6.365031268,557
3,Summ,2003,1987,398,659.118,36753,1.958333333,2647,16.21,5.986452005,6.490902578,636
3,Summ,2000,1988,454,745.04,36750,-1.041666667,3160,15.56,6.118097198,6.613437908,724
3,Summ,2001,1989,2558,2557.032,36755,3.958333333,3010,17,7.846980982,7.84660249,2663
3,Summ,2002,1990,1742,1597.295,36757,5.958333333,2943,17.17,7.462789157,7.376066853,1620
3,Summ,2003,1991,1178,1256.77,36758,6.958333333,4001,15,7.071573364,7.136300217,1257
3,Summ,2000,1992,898,634.729,36754,2.958333333,2527,16.57,6.800170068,6.453198136,611
3,Summ,2001,1993,3932,4630.765,36765,13.95833333,2567,16.55,8.276903481,8.44047736,4986
3,Summ,2002,1994,1982,1351.635,36751,-0.041666667,2697,18.33,7.591861715,7.20907025,1358
3,Summ,2003,1995,988,917.511,36750,-1.041666667,3540,15.5,6.895682698,6.821664569,902
3,Summ,2000,1996,1110,1411.69,36749,-2.041666667,3651,16.36,7.012115294,7.252542847,1422
3,Summ,2001,1997,3821,3807.463,36760,8.958333333,3501,17.58,8.248267447,8.244718367,4055
3,Summ,2002,1998,3632,2382.3,36753,1.958333333,2487,18.49,8.19753874,7.775821687,2471
3,Summ,2003,1999,1092,1280.669,36750,-1.041666667,5319,17.24,6.995766156,7.155137877,1283
3,Summ,2000,2000,1077,1554,36746,-5.041666667,4134,18.28,6.981934677,7.348587531,1573
4,Late,2002,1978,1937,2103.91,36793,9.958333333,2314,12.3,7.568895663,7.651552797,2421
4,Late,2002,1982,3558,3525.648,36795,11.95833333,2614,12.18,8.176953868,8.167819528,3296
4,Late,2002,1986,3668,2821.048,36791,7.958333333,1364,12.3,8.207401833,7.944863726,2885
4,Late,2002,1990,3173,3927.385,36789,5.958333333,1539,14.17,8.062432792,8.275729089,3515
4,Late,2002,1994,928,1498.935,36793,9.958333333,1409,15,6.833031733,7.312510135,1978
4,Late,2000,1996,439,199.241,36775,-8.041666667,2888,,6.084499413,5.294515147,593
4,Late,2001,1997,215,89.756,36765,-18.04166667,3153,17.01,5.370638028,4.497094878,368
4,Late,2002,1998,3435,1780.543,36782,-1.041666667,1394,16,8.141772205,7.484673653,2192
4,Late,2003,1999,1472,420.339,36769,-14.04166667,3690,15.06,7.294377299,6.041061529,926
4,Late,2000,2000,446,39,36752,-31.04166667,3117,17.22,6.100318952,3.663561646,224
5,Birk,2001,1977,135,24,36757,-8.458333333,3094,17.94,4.905274778,3.17805383,35
5,Birk,2002,1978,105,94,36768,2.541666667,2516,15.96,4.65396035,4.543294782,148
5,Birk,2003,1979,6,61,36770,4.541666667,2110,16.95,1.791759469,4.110873864,94
5,Birk,2000,1980,144,79,36751,-14.45833333,2740,17.46,4.9698133,4.369447852,123
5,Birk,2001,1981,180,49,36759,-6.458333333,2997,18.25,5.192956851,3.891820298,75
5,Birk,2002,1982,139,119,36766,0.541666667,3229,15.78,4.934473933,4.779123493,189
5,Birk,2003,1983,81,44,36756,-9.458333333,2954,16.98,4.394449155,3.784189634,67
5,Birk,2000,1984,46,40,36773,7.541666667,2773,13.34,3.828641396,3.688879454,60
5,Birk,2001,1985,20,12,36762,-3.458333333,2057,16.11,2.995732274,2.48490665,17
5,Birk,2002,1986,313,335,36778,12.54166667,1910,12.96,5.746203191,5.814130532,557
5,Birk,2003,1987,235,165,36767,1.541666667,1966,16.67,5.459585514,5.105945474,266
5,Birk,2000,1988,185,166,36761,-4.458333333,2606,15.93,5.220355825,5.111987788,267
5,Birk,2001,1989,80,29,36772,6.541666667,2080,14.08,4.382026635,3.36729583,43
5,Birk,2002,1990,310,166,36766,0.541666667,2180,14.4,5.736572297,5.111987788,267
5,Birk,2003,1991,214,294,36783,17.54166667,2273,15.4,5.365976015,5.683579767,486
5,Birk,2000,1992,117,185,36761,-4.458333333,1837,16,4.762173935,5.220355825,299
5,Birk,2001,1993,307,245,36768,2.541666667,2247,16.67,5.726847748,5.501258211,402
5,Birk,2002,1994,57,39,36775,9.541666667,1627,15.71,4.043051268,3.663561646,59
5,Birk,2003,1995,76,39,36769,3.541666667,2207,16.26,4.33073334,3.663561646,59
5,Birk,2000,1996,113,56,36769,3.541666667,2888,17,4.727387819,4.025351691,86
5,Birk,2001,1997,138,51,36762,-3.458333333,3369,17.21,4.927253685,3.931825633,78
5,Birk,2002,1998,532,312,36763,-2.458333333,1951,17.8,6.276643489,5.743003188,517
5,Birk,2003,1999,221,50,36766,0.541666667,4237,15.12,5.398162702,3.912023005,76
5,Birk,2000,2000,103,23,36749,-16.45833333,3541,17.55,4.634728988,3.135494216,34
6,LLat,2002,1978,1832,2009.91,36794,0.25,2304,12.3,7.513163545,7.605845224,2258
6,LLat,2002,1982,3419,3406.648,36796,2.25,2584,11.87,8.13710339,8.133484096,3128
6,LLat,2002,1986,3355,2486.048,36792,-1.75,1377,12.3,8.118207049,7.81844958,2575
6,LLat,2002,1990,2863,3761.385,36791,-2.75,1507,14.5,7.959625305,8.23254252,3326
6,LLat,2002,1994,871,1459.935,36794,0.25,1414,14.38,6.769641977,7.286147193,1853
6,LLat,2000,1996,326,143.241,36777,-16.75,2888,,5.786897381,4.964528526,441
6,LLat,2001,1997,77,38.756,36782,-11.75,2333,14.6,4.343805422,3.657285583,197
6,LLat,2002,1998,2903,1468.543,36783,-10.75,1367,15.76,7.973499964,7.292026032,1860
6,LLat,2003,1999,1251,370.339,36770,-23.75,3533,15.02,7.13169851,5.914418802,794
6,LLat,2000,2000,343,16,36754,-39.75,2907,17.24,5.837730447,2.772588722,114
