"REC_NUM","ID","sex","age","subsection","season","TOTLNGTH","head","skull","humerus","ulna","wtkg"
61,39,"Female",2,1,4,131,45,28,NA,NA,49.77
62,39,"Female",2,1,1,NA,NA,NA,NA,NA,42.08
63,5,"Male",2,NA,4,148,49,31,NA,NA,63.35
64,5,"Male",2,NA,1,153,49,31,NA,NA,54.3
65,29,"Male",2,NA,4,121,46,29,NA,NA,39.37
66,29,"Male",2,NA,1,NA,NA,NA,NA,NA,34.84
67,27,"Male",3,NA,4,176,61,33,NA,NA,122.2
68,33,"Female",9,1,4,156,57,31,NA,NA,100.5
69,33,"Female",9,1,1,159,57,31,NA,NA,77.38
70,12,"Female",4,1,4,170,53,34,NA,NA,79.19
71,12,"Female",4,1,1,NA,NA,NA,NA,NA,62.44
73,43,"Male",2,NA,4,140,46,29,NA,NA,40.72
74,43,"Male",2,NA,1,144,45,27,NA,NA,35.29
75,25,"Female",13,1,4,183,59,34,NA,NA,133
76,25,"Female",13,1,1,179,56,33,NA,NA,90.5
80,56,"Female",8,1,4,158,48,32,NA,NA,66.97
81,74,"Female",1,1,4,95,36,23,NA,NA,18.1
82,76,"Female",1,1,4,92,39,23,NA,NA,17.65
83,78,"Female",1,1,4,99,38,24,NA,NA,18.55
84,56,"Female",8,1,1,149,52,33,NA,NA,59.73
85,74,"Female",1,1,1,94,36,24,NA,NA,14.93
86,76,"Female",1,1,1,92,34,24,NA,NA,16.74
87,78,"Female",1,1,1,97,37,25,NA,NA,18.1
88,10,"Female",10,1,4,191,61,34,NA,NA,135.7
89,10,"Female",10,1,1,192,59,33,NA,NA,107.7
95,35,"Male",4,NA,4,179,58,33,NA,NA,117.6
97,21,"Male",4,NA,4,175,58,32,NA,NA,106.3
98,37,"Male",3,NA,1,164,56,34,NA,NA,85.07
99,71,"Male",3,NA,1,154,52,29,NA,NA,61.09
100,47,"Female",2,2,1,NA,42,27,NA,NA,36.2
101,21,"Male",4,NA,1,163,61,33,NA,NA,95.02
102,63,"Male",4,NA,1,169,54,33,NA,NA,58.37
140,39,"Female",3,1,4,158,52,31,NA,NA,85.97
141,74,"Female",2,1,4,120,42,29,NA,NA,31.67
142,76,"Female",2,1,4,118,40,28,NA,NA,27.15
143,29,"Male",3,NA,4,163,53,32,NA,NA,64.25
144,56,"Female",9,1,4,158,53,33,NA,NA,92.31
145,78,"Female",2,1,4,121,46,28,NA,NA,36.65
146,143,"Female",5,2,4,152,55,32,NA,NA,80.54
147,43,"Male",3,NA,4,154,52,33,NA,NA,75.57
148,162,"Female",5,1,4,154,50,30,NA,NA,59.73
149,168,"Male",1,NA,4,102,38,24,NA,NA,20.36
150,166,"Male",1,NA,4,106,39,25,NA,NA,23.08
151,33,"Female",10,1,4,170,58,30,NA,NA,85.07
152,105,"Female",1,1,4,97,39,24,NA,NA,27.6
153,103,"Male",1,1,4,106,42,24,NA,NA,32.13
154,25,"Female",14,1,4,188,57,33,NA,NA,108.6
155,111,"Male",1,1,4,108,43,26,NA,NA,35.29
156,113,"Female",1,1,4,116,40,25,NA,NA,32.58
157,115,"Male",1,1,4,118,43,25,NA,NA,37.56
158,133,"Male",5,NA,1,183,63,38,NA,NA,123.1
159,29,"Male",3,NA,1,142,51,31,NA,NA,56.11
160,129,"Male",9,NA,1,176,65,36,NA,NA,116.3
161,143,"Female",5,2,1,151,52,32,NA,NA,62.44
164,39,"Female",3,1,1,NA,51,30,NA,NA,66.97
167,21,"Male",5,NA,1,184,64,34,NA,NA,119.5
168,127,"Female",9,1,1,192,58,36,NA,NA,105
171,67,"Male",4,NA,1,171,60,35,NA,NA,90.5
172,56,"Female",9,1,1,155,50,34,NA,NA,74.21
176,43,"Male",3,NA,1,161,51,31,NA,NA,70.14
177,74,"Female",2,1,1,127,41,28,NA,NA,25.79
178,76,"Female",2,1,1,120,39,27.5,NA,NA,22.17
179,160,"Female",11,1,1,160,57,33,NA,NA,92.31
182,149,"Female",11,1,1,149,53,33,NA,NA,65.61
183,197,"Male",1,1,1,98,40,25,NA,NA,24.43
184,199,"Female",1,1,1,104,36,24,NA,NA,18.1
185,147,"Male",4,NA,1,175,59,36,NA,NA,90.95
186,25,"Female",14,1,1,169,54,32,NA,NA,97.74
187,115,"Male",1,1,1,118,43,25,NA,NA,33.48
188,113,"Female",1,1,1,110,42,25,NA,NA,29.86
189,111,"Male",1,1,1,125,42,24,NA,NA,31.67
190,78,"Female",2,1,1,125,43,29,NA,NA,32.13
191,12,"Female",5,1,1,177,55,35,NA,NA,95.02
195,33,"Female",10,1,1,173,54,31,NA,NA,68.78
196,103,"Male",1,1,1,110,40,26,NA,NA,25.79
197,105,"Female",1,1,1,108,39,23,NA,NA,22.17
198,166,"Male",1,NA,1,103,38,25,NA,NA,19
199,168,"Male",1,NA,1,104,38,26,NA,NA,17.19
200,162,"Female",5,1,1,162,50,31,NA,NA,51.58
201,125,"Female",3,1,1,150,49,31,NA,NA,58.37
202,10,"Female",11,1,1,175,59,35,NA,NA,95.93
203,119,"Male",1,1,1,101,39,24,NA,NA,19.46
204,121,"Female",1,1,1,113,39,25,NA,NA,23.08
205,123,"Male",1,1,1,103,38,24,NA,NA,19.91
206,117,"Female",1,1,1,116,40,23,NA,NA,22.17
207,141,"Female",5,1,1,157,55,32,NA,NA,75.57
211,158,"Female",8,NA,1,145,53,31,NA,NA,57.01
212,183,"Male",1,NA,1,107,38,25,NA,NA,19.91
213,174,"Female",1,1,1,99,37,25,NA,NA,14.93
214,127,"Female",9,1,1,NA,NA,NA,NA,NA,88.24
243,241,"Female",5,1,4,157,54,33,NA,NA,77.83
244,237,"Female",6,1,4,148,55,30,NA,NA,81.45
245,76,"Female",3,1,4,135,48,29,NA,NA,45.25
246,74,"Female",3,1,4,143,47,32,NA,NA,50.23
247,149,"Female",12,1,4,150,55,33,NA,NA,102.7
248,78,"Female",3,1,4,142,46,32,NA,NA,53.85
249,145,"Female",9,2,4,NA,50,33,NA,NA,55.2
250,265,"Male",1,2,4,118,40,25,NA,NA,23.08
251,143,"Female",6,2,4,151,55,31,NA,NA,66.06
252,267,"Male",1,2,4,98,38,24,NA,NA,19.91
253,141,"Female",6,1,4,100,55,32,NA,NA,81
254,225,"Female",1,1,4,109,41,25,NA,NA,24.89
255,227,"Male",1,1,4,108,42,25,NA,NA,27.15
256,125,"Female",4,1,4,147,54,32,NA,NA,101.8
257,29,"Male",4,NA,4,178,61,35,NA,NA,113.1
258,56,"Female",10,1,4,160,52,33,NA,NA,72.4
259,213,"Female",1,1,4,93,36,22,NA,NA,21.72
260,211,"Male",1,1,4,113,38,23,NA,NA,23.08
261,209,"Female",1,1,4,107,38,21,NA,NA,22.62
262,231,"Female",3,1,4,128,46,28,NA,NA,43.44
263,39,"Female",4,1,4,152,50,30,NA,NA,64.25
264,203,"Male",1,1,4,107,42,28,NA,NA,25.34
265,201,"Female",1,1,4,95,39,26,NA,NA,21.27
266,245,"Female",3,1,4,156,50,31,NA,NA,60.63
267,35,"Male",6,NA,4,167,67,38,NA,NA,178.7
268,139,"Female",7,2,4,153,48,31,NA,NA,54.75
269,273,"Female",1,2,4,89,32,24,NA,NA,14.48
270,275,"Male",1,2,4,101,37,24,NA,NA,18.55
271,277,"Female",1,2,4,84,37,23,NA,NA,16.29
272,215,"Male",1,1,4,121,40,26,NA,NA,35.29
273,217,"Male",1,1,4,118,44,27,NA,NA,35.29
274,135,"Female",8,2,4,170,56,31,NA,NA,64.25
275,283,"Male",1,2,4,81,33,20,NA,NA,11.31
276,281,"Female",1,2,4,96,36,23,NA,NA,13.57
277,279,"Male",1,2,4,85,37,22,NA,NA,14.03
278,233,"Male",4,1,1,156,55,33,NA,NA,73.3
279,231,"Female",3,1,1,129,45,29,NA,NA,38.01
280,21,"Male",6,NA,1,185,68,36,NA,NA,130.3
281,29,"Male",4,NA,1,168,58,38,NA,NA,99.55
282,78,"Female",3,1,1,133,39,32,NA,NA,51.13
283,67,"Male",5,NA,1,168,65,37,NA,NA,102.7
284,74,"Female",3,1,1,124,46,31,NA,NA,42.53
285,35,"Male",6,NA,1,184,64,38,NA,NA,158.4
286,245,"Female",3,1,1,144,47,30,NA,NA,53.85
287,76,"Female",3,1,1,122,46,29,NA,NA,36.65
288,241,"Female",5,1,1,151,52,33,NA,NA,59.73
290,56,"Female",10,1,1,148,51,32,NA,NA,65.16
291,213,"Female",1,1,1,94,33,24,NA,NA,19.46
292,209,"Female",1,1,1,96,37,24,NA,NA,19.46
293,211,"Male",1,1,1,92,37,26,NA,NA,21.27
294,143,"Female",6,2,1,146,52,32,NA,NA,56.11
295,267,"Male",1,2,1,100,37,24,NA,NA,16.29
296,39,"Female",4,1,1,143,50,33,NA,NA,52.49
297,203,"Male",1,1,1,112,42,27,NA,NA,23.08
298,201,"Female",1,1,1,96,37,25,NA,NA,17.19
299,149,"Female",12,1,1,142,52,33,NA,NA,70.59
303,139,"Female",7,2,1,150,48,33,NA,NA,46.15
304,273,"Female",1,2,1,85,35,24,NA,NA,11.76
305,275,"Male",1,2,1,90,35,23,NA,NA,14.48
306,277,"Female",1,2,1,86,34,22,NA,NA,12.67
307,160,"Female",12,1,1,144,54,32,NA,NA,72.4
308,215,"Male",1,1,1,111,42,25,NA,NA,32.13
309,217,"Male",1,1,1,108,43,27,NA,NA,33.03
310,141,"Female",6,1,1,150,54,33,NA,NA,67.42
311,225,"Female",1,1,1,98,42,24,NA,NA,22.62
312,227,"Male",1,1,1,101,41,25,NA,NA,25.34
313,237,"Female",6,1,1,149,51,31,NA,NA,57.92
317,125,"Female",4,1,1,140,53,33,NA,NA,77.38
320,135,"Female",8,2,1,159,54,32,NA,NA,59.73
321,281,"Female",1,2,1,86,35,23,NA,NA,12.22
322,283,"Male",1,2,1,93,34,22,NA,NA,10.41
323,279,"Male",1,2,1,86,36,24,NA,NA,12.67
324,162,"Female",6,1,1,142,50,32,NA,NA,56.11
367,141,"Female",7,1,4,151,56,32,NA,NA,125.3
368,10,"Female",13,1,4,164,55,34,NA,NA,101.8
369,343,"Male",1,1,4,104,40,22,NA,NA,31.22
370,350,"Male",1,1,4,109,39,26,NA,NA,30.77
371,353,"Male",1,1,4,120,41,26,NA,NA,34.39
372,345,"Female",1,1,4,101,39,24,NA,NA,24.89
373,39,"Female",5,1,4,NA,55,35,NA,NA,111.8
374,125,"Female",5,1,4,147,53,32,NA,NA,92.31
375,315,"Male",1,1,4,98,38,25,NA,NA,29.41
376,317,"Male",1,1,4,98,38,24,NA,NA,30.32
377,29,"Male",5,NA,4,175,61,31,NA,NA,131.7
378,227,"Male",2,1,4,136,54,32,NA,NA,72.4
379,281,"Female",2,2,4,116,41,26,NA,NA,32.58
380,283,"Male",2,2,4,111,42,29,NA,NA,29.86
381,241,"Female",6,1,4,146,56,32,NA,NA,72.4
382,301,"Male",1,1,4,90,40,26,NA,NA,22.62
383,279,"Male",2,2,4,117,44,28,NA,NA,33.03
384,129,"Male",11,NA,4,172,64,36,NA,NA,143.4
385,305,"Male",1,1,4,94,38,25,NA,NA,26.24
386,303,"Male",1,1,4,100,37,25,NA,NA,29.86
387,307,"Male",1,1,4,94,40,25,NA,NA,28.05
388,149,"Female",13,1,4,138,53,34,NA,NA,82.35
389,143,"Female",7,2,4,149,55,33,NA,NA,85.97
390,273,"Female",2,2,4,120,43,27,NA,NA,29.86
391,333,"Female",3,1,4,158,51,32,NA,NA,71.04
392,211,"Male",2,1,1,127,47,30,NA,NA,40.72
393,267,"Male",2,2,1,125,46,29,NA,NA,33.94
394,117,"Female",3,1,1,149,51,33,NA,NA,67.87
395,335,"Male",4,NA,1,174,65,38,NA,NA,126.2
396,25,"Female",16,1,1,168,55,32,NA,NA,99.55
397,355,"Female",1,1,1,119,43,26,NA,NA,31.67
398,337,"Male",1,1,1,116,40,27,NA,NA,34.84
399,201,"Female",2,1,1,127,46,32,NA,NA,47.06
400,149,"Female",13,1,1,149,52,34,NA,NA,73.3
401,305,"Male",1,1,1,99,39,25,NA,NA,24.89
402,307,"Male",1,1,1,92,40,26,NA,NA,26.24
403,303,"Male",1,1,1,109,40,26,NA,NA,28.96
404,12,"Female",7,1,1,157,55,36,NA,NA,81
405,325,"Female",2,NA,1,130,45,28,NA,NA,41.63
406,341,"Male",2,1,1,137,48,30,NA,NA,47.06
407,339,"Male",2,1,1,143,48,29,NA,NA,52.04
408,35,"Male",7,NA,1,180,66,40,NA,NA,171.9
409,18,"Male",13,NA,1,200,69,39,NA,NA,166.1
410,39,"Female",5,1,1,145,52,32,NA,NA,86.88
412,162,"Female",7,1,1,145,48,32,NA,NA,44.34
413,281,"Female",2,2,1,118,41,28,NA,NA,27.15
414,139,"Female",8,2,1,144,47,32,NA,NA,58.82
418,76,"Female",4,1,1,133,48,34,NA,NA,58.82
419,56,"Female",11,1,1,159,51,33,NA,NA,93.67
422,21,"Male",7,NA,1,178,65,38,NA,NA,154.8
423,74,"Female",4,1,1,141,48,34,NA,NA,64.25
426,241,"Female",6,1,1,155,52,33,NA,NA,62.44
427,301,"Male",1,1,1,92,38,25,NA,NA,19.91
428,160,"Female",13,1,1,155,52,33,NA,NA,84.62
432,78,"Female",4,1,1,145,48,33,NA,NA,59.73
435,141,"Female",7,1,1,148,51,31,NA,NA,86.88
439,143,"Female",7,2,1,145,50,33,NA,NA,60.63
443,273,"Female",2,2,1,116,39,27,NA,NA,24.43
