"","Year","Route","Stop","Species","Freq","Pres","Yr.q"
"1","2006","500106","1","crucifer",0,"0",0
"2","2006","500106","2","crucifer",1,"1",0
"3","2006","500106","3","crucifer",1,"1",0
"4","2006","500106","4","crucifer",1,"1",0
"5","2006","500106","5","crucifer",1,"1",0
"6","2006","500106","6","crucifer",1,"1",0
"7","2006","500106","7","crucifer",1,"1",0
"8","2006","500106","8","crucifer",1,"1",0
"9","2006","500106","9","crucifer",1,"1",0
"10","2006","500106","10","crucifer",1,"1",0
"11","2006","500107","1","crucifer",1,"1",0
"12","2006","500107","2","crucifer",1,"1",0
"13","2006","500107","3","crucifer",1,"1",0
"14","2006","500107","4","crucifer",1,"1",0
"15","2006","500107","5","crucifer",1,"1",0
"16","2006","500107","6","crucifer",0,"0",0
"17","2006","500107","7","crucifer",1,"1",0
"18","2006","500107","8","crucifer",1,"1",0
"19","2006","500107","9","crucifer",1,"1",0
"20","2006","500107","10","crucifer",1,"1",0
"21","2006","500109","1","crucifer",1,"1",0
"22","2006","500109","2","crucifer",1,"1",0
"23","2006","500109","3","crucifer",1,"1",0
"24","2006","500109","4","crucifer",1,"1",0
"25","2006","500109","5","crucifer",1,"1",0
"26","2006","500109","6","crucifer",1,"1",0
"27","2006","500109","7","crucifer",1,"1",0
"28","2006","500109","8","crucifer",1,"1",0
"29","2006","500109","9","crucifer",1,"1",0
"30","2006","500109","10","crucifer",1,"1",0
"31","2006","500111","1","crucifer",2,"1",0
"32","2006","500111","2","crucifer",1,"1",0
"33","2006","500111","3","crucifer",1,"1",0
"34","2006","500111","4","crucifer",1,"1",0
"35","2006","500111","5","crucifer",2,"1",0
"36","2006","500111","6","crucifer",1,"1",0
"37","2006","500111","7","crucifer",2,"1",0
"38","2006","500111","8","crucifer",0,"0",0
"39","2006","500111","9","crucifer",1,"1",0
"40","2006","500111","10","crucifer",0,"0",0
"41","2006","500114","1","crucifer",0,"0",0
"42","2006","500114","2","crucifer",0,"0",0
"43","2006","500114","3","crucifer",1,"1",0
"44","2006","500114","4","crucifer",1,"1",0
"45","2006","500114","5","crucifer",0,"0",0
"46","2006","500114","6","crucifer",0,"0",0
"47","2006","500114","7","crucifer",2,"1",0
"48","2006","500114","8","crucifer",1,"1",0
"49","2006","500114","9","crucifer",0,"0",0
"50","2006","500114","10","crucifer",1,"1",0
"51","2006","500118","1","crucifer",2,"1",0
"52","2006","500118","2","crucifer",2,"1",0
"53","2006","500118","3","crucifer",1,"1",0
"54","2006","500118","4","crucifer",1,"1",0
"55","2006","500118","5","crucifer",2,"1",0
"56","2006","500118","6","crucifer",2,"1",0
"57","2006","500118","7","crucifer",2,"1",0
"58","2006","500118","8","crucifer",2,"1",0
"59","2006","500118","9","crucifer",2,"1",0
"60","2006","500118","10","crucifer",2,"1",0
"61","2006","500119","1","crucifer",0,"0",0
"62","2006","500119","2","crucifer",1,"1",0
"63","2006","500119","3","crucifer",0,"0",0
"64","2006","500119","4","crucifer",1,"1",0
"65","2006","500119","5","crucifer",1,"1",0
"66","2006","500119","6","crucifer",0,"0",0
"67","2006","500119","7","crucifer",0,"0",0
"68","2006","500119","8","crucifer",2,"1",0
"69","2006","500119","9","crucifer",1,"1",0
"70","2006","500119","10","crucifer",0,"0",0
"71","2006","500126","1","crucifer",0,"0",0
"72","2006","500126","2","crucifer",0,"0",0
"73","2006","500126","3","crucifer",0,"0",0
"74","2006","500126","4","crucifer",0,"0",0
"75","2006","500126","5","crucifer",0,"0",0
"76","2006","500126","6","crucifer",0,"0",0
