,DOWLKNUM,YEAR,GENUS,PROVNAME,Avg_CPUE,MaxDepth_m,Area_acres,NAME,X_UTM,Y_UTM,GeoI,YR,Log_CPUE
1085,1007300,1970,Coregonus,Laurentian Mixed Forest Province,0.25,NA,60,Bass,25.7720278,-20.364655,NA,-19,0.223143551
1088,1008900,1970,Coregonus,Laurentian Mixed Forest Province,0.2,35.35679995,433,Long,16.185893,-35.30542,0.129017619,-19,0.182321557
1096,1020400,1970,Coregonus,Laurentian Mixed Forest Province,0.2,38.09999994,736,Round,-7.8146271,-52.115398,0.136708173,-19,0.182321557
1100,3035000,1970,Coregonus,Eastern Broadleaf Forest Province,12,11.27759998,444,Buffalo,-158.3178528,22.118399,0.407032471,-19,2.564949357
1102,3038100,1970,Coregonus,Eastern Broadleaf Forest Province,1.666666667,24.99359996,3089,Detroit,-161.4422451,2.450057,0.29828105,-19,0.980829253
1106,4002400,1970,Coregonus,Laurentian Mixed Forest Province,3.125,16.76399997,249,Gilstad,-61.0951521,97.231831,0.236958442,-19,1.41706602
1110,4007900,1970,Coregonus,Laurentian Mixed Forest Province,23.77777778,17.67839997,1206,Wolf,-73.1928236,70.299703,0.333344943,-19,3.209947194
1116,11049000,1970,Coregonus,Laurentian Mixed Forest Province,2.666666667,19.81199997,352,Portage,-66.9938046,53.785214,0.218628788,-19,1.299282984
1120,16014300,1970,Coregonus,Laurentian Mixed Forest Province,0.111111111,15.23999998,1873,Devil Track,246.928,116.309,0.431667625,-19,0.105360516
1128,16023200,1970,Coregonus,Laurentian Mixed Forest Province,32.16666667,39.62399994,630,Duncan,243.1224949,144.554955,0.126437769,-19,3.501545356
1132,16026700,1970,Coregonus,Laurentian Mixed Forest Province,11.5,25.29839996,295,Vernon,235.8665592,129.764009,0.163818313,-19,2.525728644
1136,16034800,1970,Coregonus,Laurentian Mixed Forest Province,15,19.81199997,5204,Brule,225.8076739,128.724544,0.428702487,-19,2.772588722
1146,16044800,1970,Coregonus,Laurentian Mixed Forest Province,15.875,61.56959991,1197,Loon,225.9687581,143.998478,0.095533834,-19,2.825833237
1150,18010400,1970,Coregonus,Laurentian Mixed Forest Province,2.142857143,12.80159998,782,Nokay,-20.015581,-47.003751,0.413083108,-19,1.145132304
1157,29008600,1970,Coregonus,Laurentian Mixed Forest Province,2.5,4.571999993,564,First Crow Wing,-86.5099952,5.055398,1.065892865,-19,1.252762968
1162,31021900,1970,Coregonus,Laurentian Mixed Forest Province,0.666666667,24.07919996,198,O'Reilly,21.6312695,61.962592,0.1557845,-19,0.510825624
1168,31084300,1970,Coregonus,Laurentian Mixed Forest Province,8.333333333,15.84959998,561,Whitefish,-18.3130559,98.062237,0.307059409,-19,2.233592221
1172,38004800,1970,Coregonus,Laurentian Mixed Forest Province,0.25,10.36319998,281,Harriet,195.846,96.964,0.395077868,-19,0.223143551
1175,38006800,1970,Coregonus,Laurentian Mixed Forest Province,10.5,10.66799998,469,Windy,198.2657632,104.963006,0.436224652,-19,2.442347035
1178,39000200,1970,Coregonus,Laurentian Mixed Forest Province,29.8,NA,307010,Lake of the Woods,-86.1779634,259.903325,NA,-19,3.42751469
1196,56043700,1970,Coregonus,Eastern Broadleaf Forest Province,0.333333333,28.95599996,1341,Stalker,-164.1400015,-62.393013,0.20898669,-19,0.287682072
1201,69000400,1970,Coregonus,Laurentian Mixed Forest Province,0.5,14.32559998,3429,White Iron,142.5901188,117.934568,0.534169456,-19,0.405465108
1207,69061600,1970,Coregonus,Laurentian Mixed Forest Province,16.16666667,24.38399996,3396,Crane,92.9363514,165.460783,0.313066769,-19,2.842969519
1210,69061700,1970,Coregonus,Laurentian Mixed Forest Province,4,53.33999992,5680,Sand Point,90.926,174.39,0.1627549,-19,1.609437912
1213,69069100,1970,Coregonus,Laurentian Mixed Forest Province,7.666666667,26.82239996,1685,Johnson,84.137,171.059,0.238864903,-19,2.159484249
1216,69069300,1970,Coregonus,Laurentian Mixed Forest Province,0.2,39.31919994,14050,Namakan,75.0681995,183.419798,0.276894551,-19,0.182321557
1219,69074800,1970,Coregonus,Laurentian Mixed Forest Province,3.222222222,15.23999998,438,Kjostad,83.5681305,145.087714,0.30018125,-19,1.440361582
1223,69076100,1970,Coregonus,Laurentian Mixed Forest Province,32.3,18.28799997,209,Spring,81.4628025,174.117292,0.207907597,-19,3.505557397
1232,3015900,1971,Coregonus,Laurentian Mixed Forest Province,0.2,30.47999995,1002,Elbow,-140.4143896,38.459411,0.184587364,-18,0.182321557
1234,3032300,1971,Coregonus,Eastern Broadleaf Forest Province,0.4,12.19199998,1607,Strawberry,-150.9034065,32.975673,0.519312786,-18,0.336472237
1236,4003800,1971,Coregonus,Laurentian Mixed Forest Province,2,18.28799997,1448,Andrusia,-70.998,73.208,0.337307446,-18,1.098612289
1238,4007900,1971,Coregonus,Laurentian Mixed Forest Province,4.3,17.67839997,1206,Wolf,-73.1928236,70.299703,0.333344943,-18,1.667706821
1240,4015500,1971,Coregonus,Laurentian Mixed Forest Province,9.666666667,7.619999988,464,Little Turtle,-87.952,93.983,0.60908026,-18,2.367123614
1242,4015900,1971,Coregonus,Laurentian Mixed Forest Province,6.166666667,13.71599998,1584,Turtle,-86.1910191,92.039806,0.459950736,-18,1.969440647
1244,4019600,1971,Coregonus,Laurentian Mixed Forest Province,5,6.70559999,462,Campbell,-91.7453802,92.85961,0.691389614,-18,1.791759469
