"year","juldate","plot","offplot","waypoint","observed","pilot","leftseat","rightseat","snowdepth","wind","wdir","tempf","bar","btrend","cloud","surveycond","grpsize","sexage","cover","lightint","voc","wci","suco","cover2","id"
2004,9,NA,1,314,"1",2,2,3,"2",0,0,10,3042,"3","4","1",2,"3","4","1",30,10,0,"1",40570
2004,28,NA,2,454,"0",2,2,3,"3",9,280,-10,3002,"1","0","2",3,"3","3","2",80,-27.3616215451047,1,"2",40570
2004,28,NA,2,464,"0",2,2,3,"3",9,280,-10,3002,"1","0","2",1,"1","1","2",90,-27.3616215451047,1,"3",40930
2004,28,NA,2,192,"1",1,1,1,"3",10,270,-4,3002,"1","0","2",2,"1","3","2",50,-20.8921738121424,1,"2",41230
2004,22,NA,2,376,"0",3,2,3,"3",9,280,-12,3010,"3","0","2",3,"2","1","2",70,-29.8198135856059,1,"3",41430
2004,22,NA,2,112,"0",1,1,2,"3",9,280,-13,3010,"3","0","2",1,NA,"2","2",50,-31.0489096058566,1,"1",41530
2004,22,NA,2,116,"0",1,1,2,"3",9,280,-13,3010,"3","0","2",2,"2","1","2",50,-31.0489096058566,1,"3",41930
2004,9,NA,2,98,"1",1,1,1,"2",0,0,8,3044,"1","2","2",2,"2","4","2",50,8,1,"1",42030
2004,28,NA,2,441,"1",2,2,3,"3",9,280,-10,3002,"1","0","2",2,"3","1","2",10,-27.3616215451047,1,"3",44460
2004,22,NA,1,126,"1",1,1,2,"3",8,280,-11,3010,"3","0","2",1,"2","3","2",60,-27.5173681630398,1,"2",44620
2004,24,NA,2,423,"1",1,1,2,"3",5,320,0,3026,NA,"0","2",2,"3","1","2",85,-10.50994779169,1,"3",45020
2004,9,NA,1,293,"1",2,2,3,"2",0,0,8,3042,"3","4","1",3,"2","4","1",0,8,0,"1",45830
2004,22,NA,2,371,"1",3,2,3,"3",9,280,-10,3010,"3","0","2",2,"1","3","2",50,-27.3616215451047,1,"2",46740
2004,22,NA,2,127,"1",1,1,2,"3",6,270,-10,3009,"3","0","2",1,"1","1","2",60,-23.7882969589184,1,"3",46940
2004,9,NA,2,70,"1",1,1,1,"2",0,0,1,3044,"1","4","1",2,"3","4","1",30,1,0,"1",47520
2004,9,NA,2,93,"1",1,1,1,"2",0,0,15,3044,"1","2","1",1,"1","2","2",80,15,0,"1",48130
2004,28,NA,2,186,"1",1,1,1,"3",10,270,-4,3002,"1","0","2",1,"1","1","2",75,-20.8921738121424,1,"3",48130
2004,9,NA,2,95,"1",1,1,1,"2",0,0,15,3044,"1","2","1",2,"3","4","2",20,15,0,"1",48430
2004,28,NA,2,191,"0",1,1,1,"3",10,270,-8,3002,"1","0","2",2,"3","2","2",60,-25.8498758201180,1,"1",48430
2004,28,NA,2,445,"0",2,2,3,"3",9,280,-10,3002,"1","0","2",1,"1","1","2",100,-27.3616215451047,1,"3",48920
2004,22,NA,2,379,"0",3,2,3,"3",9,280,-13,3010,"3","0","2",2,"2","1","2",50,-31.0489096058566,1,"3",49120
2004,9,NA,2,110,"0",1,1,1,"2",0,0,12,3044,"1","4","1",1,"2","1","1",100,12,0,"3",49320
2004,28,NA,2,184,"0",1,1,1,"3",9,270,-4,3002,"1","1","2",1,"2","1","2",100,-19.9870454236008,1,"3",49320
2004,9,NA,2,107,"1",1,1,1,"2",0,0,12,3040,"1","4","1",3,"3","4","1",0,12,0,"1",50370
2004,9,NA,2,81,"1",1,1,1,"2",0,0,5,3044,"1","4","1",3,"1","1","1",50,5,0,"3",50800
2004,22,NA,2,121,"0",1,1,2,"3",9,280,-13,3010,"3","0","2",1,"1","3","2",60,-31.0489096058566,1,"2",50800
2004,9,NA,1,309,"1",2,2,3,"2",0,0,10,3042,"3","0","1",3,"1","4","2",10,10,0,"1",51210
2004,22,NA,2,368,"0",3,2,3,"3",9,280,-14,3010,"3","0","2",2,"3","1","2",85,-32.2780056261072,1,"3",51830
2004,22,NA,2,363,"1",3,2,3,"3",9,280,-10,3010,"3","1","2",2,"2","2","2",20,-27.3616215451047,1,"1",51930
2004,28,NA,2,183,"0",1,1,1,"3",9,270,-4,3002,"1","1","2",2,"1","1","2",100,-19.9870454236008,1,"3",52080
2004,9,NA,2,291,"1",2,2,3,"2",0,0,1,3044,"1","4","1",2,"2","4","1",0,1,0,"1",52220
2004,22,NA,2,122,"1",1,1,2,"3",9,280,-13,3010,"3","0","2",1,"1","3","2",60,-31.0489096058566,1,"2",52320
