strtno,year,period,rblval,deply,nesting2,size
1,1997,1,0.225562848,2,0,24
1,1997,2,0.22741457,2,0,24
1,1997,3,0.891301053,2,0,24
1,1997,4,2.037457039,2,0,24
1,1998,1,0.356386708,2,0,24
1,1998,2,0.388640503,2,1,24
1,1998,3,1.236753898,2,1,24
1,1998,4,2.141422825,2,0,24
1,1999,1,0.313816864,2,1,24
1,1999,2,0.446821109,2,0,24
1,1999,3,1.317371025,2,1,24
1,1999,4,2.069990015,2,0,24
2,1997,1,0.228053866,2,0,7.19
2,1997,2,0.228076718,2,1,7.19
2,1997,3,0.864153893,2,0,7.19
2,1997,4,2.008674699,2,0,7.19
2,1998,1,0.357866513,2,1,7.19
2,1998,2,0.372265691,2,0,7.19
2,1998,3,1.161837537,2,0,7.19
2,1998,4,2.12494193,2,0,7.19
2,1999,1,0.29802642,2,1,7.19
2,1999,2,0.405719827,2,0,7.19
2,1999,3,1.246367241,2,0,7.19
2,1999,4,2.054917706,2,0,7.19
3,1997,1,0.234643688,2,0,0.73
3,1997,2,0.234655666,2,0,0.73
3,1997,3,0.79726079,2,0,0.73
3,1997,4,1.909424219,2,0,0.73
3,1998,1,0.382782865,2,0,0.73
3,1998,2,0.368477386,2,0,0.73
3,1998,3,1.030551438,2,0,0.73
3,1998,4,2.034518772,2,0,0.73
3,1999,1,0.280836811,2,0,0.73
3,1999,2,0.357435474,2,0,0.73
3,1999,3,1.12999788,2,0,0.73
3,1999,4,1.984446386,2,0,0.73
4,1997,1,0.171618606,1,0,0.31
4,1997,2,0.172553189,1,0,0.31
4,1997,3,0.850859555,1,0,0.31
4,1997,4,1.959956856,1,0,0.31
4,1998,1,0.317746253,1,0,0.31
4,1998,2,0.301563991,1,0,0.31
4,1998,3,1.018486818,1,0,0.31
4,1998,4,2.065044647,1,0,0.31
5,1997,1,0.178946469,1,0,0
5,1997,2,0.179883861,1,0,0
5,1997,3,0.845557109,1,0,0
5,1997,4,1.957997168,1,0,0
5,1998,1,0.328781973,1,0,0
5,1998,2,0.31226692,1,0,0
5,1998,3,1.020407707,1,0,0
5,1998,4,2.068050918,1,0,0
5,1999,1,0.240229385,1,0,0
5,1999,2,0.337871343,1,0,0
5,1999,3,1.235900062,1,0,0
5,1999,4,2.017484678,1,0,0
6,1997,1,0.173580316,2,0,2.99
6,1997,2,0.174520353,2,0,2.99
6,1997,3,0.852263764,2,1,2.99
6,1997,4,1.978453034,2,0,2.99
6,1998,1,0.32321207,2,1,2.99
6,1998,2,0.30919691,2,0,2.99
6,1998,3,1.059556006,2,0,2.99
6,1998,4,2.074570565,2,0,2.99
6,1999,1,0.233675839,2,0,2.99
6,1999,2,0.333593978,2,1,2.99
6,1999,3,1.251956354,2,0,2.99
6,1999,4,2.053348242,2,0,2.99
7,1997,1,0.16394922,1,0,0.43
7,1997,2,0.164875734,1,0,0.43
7,1997,3,0.810218801,1,0,0.43
7,1997,4,1.950671538,1,0,0.43
7,1998,1,0.308862997,1,0,0.43
7,1998,2,0.292278273,1,0,0.43
7,1998,3,1.001968713,1,0,0.43
7,1998,4,2.056129744,1,0,0.43
7,1999,1,0.225259805,1,0,0.43
7,1999,2,0.318907514,1,0,0.43
7,1999,3,1.198099065,1,0,0.43
7,1999,4,1.99667784,1,0,0.43
8,1997,1,0.146506954,1,0,0
8,1997,2,0.147433468,1,0,0
8,1997,3,0.832593604,1,0,0
8,1997,4,1.961241721,1,0,0
8,1998,1,0.275268578,1,0,0
8,1998,2,0.265854429,1,0,0
8,1998,3,1.010224958,1,0,0
8,1998,4,2.05256011,1,0,0
8,1999,1,0.193278104,1,0,0
8,1999,2,0.290531034,1,0,0
8,1999,3,1.187838852,1,0,0
8,1999,4,1.978556135,1,0,0
9,1997,1,0.167614363,2,0,5.4
9,1997,2,0.178221935,2,0,5.4
9,1997,3,0.853790216,2,1,5.4
9,1997,4,1.91674526,2,0,5.4
9,1998,1,0.183193918,2,0,5.4
9,1998,2,0.243761616,2,0,5.4
9,1998,3,1.146043496,2,0,5.4
9,1998,4,1.974688657,2,0,5.4
9,1999,1,0.160124629,2,0,5.4
9,1999,2,0.280276346,2,0,5.4
9,1999,3,1.263402433,2,0,5.4
9,1999,4,1.965096301,2,0,5.4
10,1997,1,0.183847027,1,0,0
10,1997,2,0.194933218,1,0,0
10,1997,3,0.855980685,1,0,0
10,1997,4,1.885975127,1,0,0
10,1998,1,0.20102195,1,0,0
10,1998,2,0.263582471,1,0,0
10,1998,3,1.166757784,1,0,0
10,1998,4,1.938297187,1,0,0
10,1999,1,0.17692755,1,0,0
10,1999,2,0.293764632,1,0,0
10,1999,3,1.244027999,1,0,0
10,1999,4,1.939490937,1,0,0
11,1997,1,0.195742735,2,0,0.81
11,1997,2,0.207542885,2,0,0.81
11,1997,3,0.871671204,2,0,0.81
11,1997,4,1.888092915,2,0,0.81
11,1998,1,0.212277061,2,0,0.81
11,1998,2,0.275931768,2,0,0.81
11,1998,3,1.172857154,2,0,0.81
11,1998,4,1.938779705,2,0,0.81
11,1999,1,0.190922249,2,0,0.81
11,1999,2,0.304870033,2,0,0.81
11,1999,3,1.235932266,2,0,0.81
11,1999,4,1.955928335,2,0,0.81
12,1997,1,0.199860959,2,1,26.05
12,1997,2,0.199870611,2,0,26.05
12,1997,3,0.927206498,2,0,26.05
12,1997,4,1.955805185,2,0,26.05
12,1998,1,0.23034412,2,1,26.05
12,1998,2,0.281600141,2,0,26.05
12,1998,3,1.284488973,2,0,26.05
12,1998,4,2.019884325,2,0,26.05
12,1999,1,0.175130685,2,1,26.05
12,1999,2,0.283423955,2,0,26.05
12,1999,3,1.228167484,2,1,26.05
12,1999,4,1.98203201,2,0,26.05
13,1997,1,0.264081482,2,1,1.37
13,1997,2,0.27435165,2,0,1.37
13,1997,3,0.754387296,2,0,1.37
13,1997,4,1.71686561,2,0,1.37
13,1998,1,0.376697708,2,1,1.37
13,1998,2,0.429263567,2,0,1.37
13,1998,3,1.086391507,2,1,1.37
13,1998,4,1.922957133,2,0,1.37
