City,Species,DBH,TF,BLVD,SidewalkDamage,SGR,Shape
6,2,23,8.7,0,0,110,210
6,2,21,6.5,8.5,0,110,210
6,2,21,6.8,6,1,110,210
6,2,16,6.7,6,1,100,210
6,2,16,9,6,0,100,200
6,2,28,12.7,9,1,100,200
6,2,16,7.5,9,0,110,200
6,2,14,6.8,9,0,110,220
6,2,21,7.9,9,0,110,210
6,2,16,5.2,9,0,110,200
6,2,18,6.4,6.5,1,110,210
6,2,16,5.6,6.5,1,110,210
6,2,11,4.2,6.5,0,100,210
6,2,6,3.1,6.5,0,110,220
6,2,11,4,6.5,1,110,210
6,2,17,6.2,6.5,1,110,200
6,2,17,6.8,6.5,0,110,210
6,2,17,5.1,10.5,0,110,210
6,2,6,2.1,10.5,0,110,210
6,2,25,10.9,10.5,0,110,200
6,2,29,9.8,10.5,0,110,210
4,2,4,1.9,11,0,110,210
4,2,4,1.8,11,0,110,210
6,2,18,7.4,9,1,110,220
6,2,17,10.4,10,0,110,220
6,2,19,7.8,10,1,110,210
6,2,23,7.9,10,1,110,200
6,2,26,8.6,10,0,110,210
6,2,7,2.5,10,0,110,210
6,2,8,2.8,10,0,110,210
4,2,15,5.3,10,0,110,210
4,2,8,2.7,10,0,110,210
4,2,13,4.1,10,0,100,210
4,2,18,6.6,0,0,100,210
4,2,18,6.9,15.5,0,110,210
4,2,8,2.9,9,0,110,210
4,2,10,4.5,9,0,110,210
4,2,26,12.8,14,0,110,210
4,2,12,3.7,8,0,110,210
2,2,7,2.3,7.5,0,110,210
2,2,18,5.8,5.2,0,110,210
2,2,22,6.5,5.2,0,110,210
2,2,14,3.8,8.3,0,110,210
2,2,15,5.1,9,0,110,210
2,2,17,5.4,6.5,0,110,210
2,2,13,4.4,6.5,0,110,200
2,2,11,4.5,9,0,100,210
2,2,20,6.9,9,0,110,210
2,2,19,5.8,16.8,0,110,210
2,2,5,2,16.8,0,110,210
2,2,18,6.2,16.8,0,110,210
2,2,23,6.9,16.8,0,110,210
2,2,22,7.8,12.3,0,110,200
2,2,22,6.3,14.3,0,110,210
2,2,13,3.5,9,1,110,210
2,2,5,1.6,9,0,110,210
2,2,20,7,9,1,110,210
2,2,28,11.8,9,0,110,200
2,2,9,3.9,9,0,110,210
2,2,20,7.3,9,0,110,210
2,2,24,7.4,9,0,110,200
2,2,9,3.9,9,0,110,200
2,2,16,5.9,2.8,0,110,210
2,2,10,3.5,4.2,0,110,210
2,2,20,8.7,9,1,110,210
2,2,25,8.6,10,1,110,210
2,2,21,5.7,3.7,0,110,210
2,2,14,3.8,3.5,0,110,210
2,2,10,4.9,3.7,0,110,220
2,2,13,4.8,10,1,110,200
2,2,8,2.8,10,1,110,210
2,2,9,2.9,10,0,110,210
2,2,20,8.8,10,0,110,210
2,2,15,5.6,4,0,100,210
2,2,12,3.6,9,0,110,210
2,2,11,3.6,9,0,110,210
2,2,13,4.5,6.8,0,120,200
2,2,10,3.2,5,0,110,210
2,2,14,4.1,6.3,0,110,210
2,2,10,3.7,6.4,0,110,200
2,2,15,5.4,3.2,0,100,210
4,2,18,7.2,13.8,0,120,210
4,2,25,8.4,5,0,110,210
4,2,24,7.9,5,0,110,200
4,2,12,3.9,16,0,110,210
4,2,11,4.4,16,0,110,200
4,2,16,5.7,10,0,110,210
1,2,15,5.6,7,0,110,210
1,2,22,10.1,12,0,110,210
5,2,6,2.4,11,0,110,210
5,2,6,2.3,11,0,110,210
5,2,16,7,9,0,110,210
5,2,10,3.9,9,0,110,210
5,2,6,2.4,13,0,110,210
5,2,15,5.4,5,0,110,210
5,2,18,6.7,5,0,110,210
5,2,4,1.7,5,0,110,210
5,2,5,2.3,5,0,110,210
5,2,6,2.3,11,0,110,210
5,2,5,1.7,12,1,110,210
2,3,2,0.6,9,0,110,210
2,3,2,0.5,9,0,110,210
3,3,13,4.4,9,1,110,210
3,3,12,3.7,9,1,110,210
3,3,7,2.3,9,1,110,210
3,3,18,6.4,9,1,110,210
3,3,18,6.7,9,1,110,210
6,4,33,14.3,9,1,110,210
6,4,12,5.4,6.5,0,110,200
6,4,16,6.4,6.5,1,110,210
6,4,10,4.8,10.5,0,110,210
6,4,40,18.8,10,1,110,210
6,4,12,5.1,10,1,110,210
6,4,25,12.1,8,1,110,210
6,4,28,13.8,8,0,110,210
4,4,24,8.8,8.5,0,110,210
2,4,20,6.3,7.5,0,120,210
2,4,28,9.2,9,1,110,210
2,4,43,16.2,3,0,110,210
2,4,38,13.4,3,0,110,200
2,4,31,14.6,2.5,0,110,210
2,4,17,7,9,1,110,210
2,4,30,10.9,12,0,110,210
2,4,22,10.4,10,1,110,210
2,4,19,6.9,10,1,110,210
2,4,28,14,4.6,0,110,210
4,4,30,11.4,5,0,110,210
4,4,44,12.5,8.5,0,100,210
4,4,8,2.5,12,0,110,210
4,4,39,11.9,6.7,0,110,210
4,4,18,6.7,8,0,120,210
1,4,24,9.3,11,0,110,210
1,4,24,8.7,11,0,110,210
3,4,28,10.3,10,1,110,210
3,4,33,14.6,10,1,110,210
3,4,19,5.9,10,1,110,210
3,4,24,9.7,10,1,110,210
3,4,17,6,10,1,110,210
3,4,26,10.3,10,1,110,210
3,4,24,8.6,8,1,110,210
3,4,22,8.1,8,1,110,210
3,4,22,9.6,8,1,110,210
3,4,20,6.7,10,0,110,210
3,4,23,9.9,10,0,110,210
3,4,30,10,10,0,110,210
3,4,22,8,10,1,110,210
3,4,15,6.3,10,0,110,210
3,4,27,8.9,0,0,110,210
3,4,29,10.7,10,1,100,210
3,4,17,5.6,8,1,110,210
3,4,10,4.9,8,1,110,210
3,4,14,6.6,8,1,110,210
3,4,7,3.2,8,1,110,210
3,4,5,2,8,1,110,210
5,4,6,2.2,7,0,110,210
5,4,8,2.8,7,0,110,200
5,4,4,1.8,11,0,110,210
5,4,5,1.9,10,0,110,210
5,4,32,14.1,10,1,110,210
5,4,24,11.3,10,1,110,210
5,4,15,8.2,9,0,110,210
5,4,12,4.7,12,0,110,210
5,4,10,3.6,12,0,110,210
5,4,21,10.6,9,1,110,210
5,4,22,10.3,9,1,110,210
5,4,17,7.7,8,0,110,210
5,4,8,3,10,1,110,210
5,4,35,14,10,0,110,210
5,4,35,13.4,10,1,110,210
5,4,14,4.9,9,0,110,210
5,4,9,3.3,9,0,110,210
5,4,10,4.1,13,0,110,210
5,4,7,2.2,10,0,110,210
5,4,11,3.7,11,0,110,210
5,4,21,8.9,15,1,110,210
5,4,6,2.4,11,0,110,210
5,4,9,3.4,6,0,110,210
5,4,11,4.9,15,0,110,210
5,4,9,3.2,15,0,110,210
5,4,11,4.7,9,1,110,210
1,4,7,2.9,7,0,110,210
1,4,17,5.9,13,1,110,210
1,4,22,9.2,12,0,110,210
1,4,8,3.2,11,1,110,210
1,4,6,2.5,11,1,110,210
1,4,12,5.4,9,0,110,210
3,4,26,10,9,1,110,210
3,4,36,14.7,10,1,110,210
3,4,35,14,10,1,110,210
3,4,27,11,10,1,110,210
3,4,28,10.5,10,1,110,210
3,4,14,4.6,10,1,110,210
3,4,14,4.2,10,1,110,210
3,4,20,6.8,10,1,110,210
3,4,18,6.7,10,1,110,210
3,4,14,5.1,10,1,110,210
3,4,20,7.5,10,1,110,210
3,4,12,4.3,10,1,110,210
3,4,10,3.9,10,1,110,210
3,4,11,4.7,10,1,110,210
3,4,12,5.1,9,1,110,210
3,4,20,8.7,9,1,100,210
3,4,13,4.5,4,0,110,210
6,5,20,7.9,6.5,0,110,210
6,5,22,10.2,6.5,1,120,210
6,5,22,10.7,8.5,1,110,200
6,5,18,6.4,9,0,100,210
6,5,17,7.5,9,0,110,200
6,5,14,4.4,9,1,110,200
