Season,Area,Gear Type,Time,Tows,Bycatch
1989-90,North,Bottom,Day,48,0
1989-90,North,Bottom,Night,6,0
1989-90,North,Mid-Water,Night,1,0
1989-90,South,Bottom,Day,139,0
1989-90,South,Mid-Water,Day,6,0
1989-90,South,Bottom,Night,6,0
1989-90,South,Mid-Water,Night,90,23
1990-91,North,Bottom,Day,2,0
1990-91,South,Bottom,Day,47,0
1990-91,South,Mid-Water,Day,110,0
1990-91,South,Bottom,Night,12,0
1990-91,South,Mid-Water,Night,73,0
1991-92,North,Bottom,Day,101,0
1991-92,North,Mid-Water,Day,4,0
1991-92,North,Bottom,Night,36,2
1991-92,North,Mid-Water,Night,3,5
1991-92,South,Bottom,Day,74,1
1991-92,South,Mid-Water,Day,3,0
1991-92,South,Bottom,Night,7,5
1991-92,South,Mid-Water,Night,15,16
1992-93,North,Bottom,Day,135,0
1992-93,North,Mid-Water,Day,3,0
1992-93,North,Bottom,Night,22,0
1992-93,North,Mid-Water,Night,16,0
1992-93,South,Bottom,Day,112,0
1992-93,South,Bottom,Night,6,0
1992-93,South,Mid-Water,Night,28,9
1993-94,North,Bottom,Day,78,0
1993-94,North,Mid-Water,Day,19,0
1993-94,North,Bottom,Night,13,0
1993-94,North,Mid-Water,Night,28,0
1993-94,South,Bottom,Day,155,0
1993-94,South,Mid-Water,Day,20,0
1993-94,South,Bottom,Night,14,0
1993-94,South,Mid-Water,Night,71,8
1994-95,North,Bottom,Day,17,0
1994-95,North,Mid-Water,Day,80,0
1994-95,North,Bottom,Night,9,0
1994-95,North,Mid-Water,Night,74,0
1994-95,South,Bottom,Day,41,0
1994-95,South,Mid-Water,Day,73,6
1994-95,South,Bottom,Night,13,0
1994-95,South,Mid-Water,Night,74,15
